date,total_stars
2026-01-27,15
2026-01-28,57
2026-01-29,83
2026-01-30,119
2026-01-31,167
2026-02-01,210
2026-02-02,238
2026-02-03,281
2026-02-04,305
2026-02-05,324
2026-02-06,344
2026-02-07,356
2026-02-08,365
2026-02-09,380
2026-02-10,394
2026-02-11,405
2026-02-12,422
2026-02-13,438
2026-02-14,444
2026-02-15,453
2026-02-16,460
2026-02-17,467
2026-02-18,479
2026-02-19,491
2026-02-20,501
2026-02-21,515
2026-02-22,523
2026-02-23,544
2026-02-24,602
2026-02-25,677
2026-02-26,811
2026-02-27,942
2026-02-28,1051
2026-03-01,1130
2026-03-02,1270
2026-03-03,1390
2026-03-04,1495
2026-03-05,1622
2026-03-06,1735
2026-03-07,1894
2026-03-08,2055
2026-03-09,2324
2026-03-10,2598
2026-03-11,2890
2026-03-12,3125
2026-03-13,3317
2026-03-14,3429
2026-03-15,3560
2026-03-16,3700
2026-03-17,3757
